FWC;FWC0;FWC1;FWC2;FWC3;FWC4;FWC5;FWC6;FWC7;FWC8;;;;;;;;;;;
MÉXICO;MEX1;MEX2;MEX3;MEX4;MEX5;MEX6;MEX7;MEX8;MEX9;MEX10;MEX11;MEX12;MEX13;MEX14;MEX15;MEX16;MEX17;MEX18;MEX19;MEX20
ÁFRICA DO SUL;RSA1;RSA2;RSA3;RSA4;RSA5;RSA6;RSA7;RSA8;RSA9;RSA10;RSA11;RSA12;RSA13;RSA14;RSA15;RSA16;RSA17;RSA18;RSA19;RSA20
COREIA DO SUL;KOR1;KOR2;KOR3;KOR4;KOR5;KOR6;KOR7;KOR8;KOR9;KOR10;KOR11;KOR12;KOR13;KOR14;KOR15;KOR16;KOR17;KOR18;KOR19;KOR20
TCHÉQUIA;CZE1;CZE2;CZE3;CZE4;CZE5;CZE6;CZE7;CZE8;CZE9;CZE10;CZE11;CZE12;CZE13;CZE14;CZE15;CZE16;CZE17;CZE18;CZE19;CZE20
CANADÁ;CAN1;CAN2;CAN3;CAN4;CAN5;CAN6;CAN7;CAN8;CAN9;CAN10;CAN11;CAN12;CAN13;CAN14;CAN15;CAN16;CAN17;CAN18;CAN19;CAN20
BÓSNIA E HERZEGOVINA;BIH1;BIH2;BIH3;BIH4;BIH5;BIH6;BIH7;BIH8;BIH9;BIH10;BIH11;BIH12;BIH13;BIH14;BIH15;BIH16;BIH17;BIH18;BIH19;BIH20
CATAR;QAT1;QAT2;QAT3;QAT4;QAT5;QAT6;QAT7;QAT8;QAT9;QAT10;QAT11;QAT12;QAT13;QAT14;QAT15;QAT16;QAT17;QAT18;QAT19;QAT20
SUÍÇA;SUI1;SUI2;SUI3;SUI4;SUI5;SUI6;SUI7;SUI8;SUI9;SUI10;SUI11;SUI12;SUI13;SUI14;SUI15;SUI16;SUI17;SUI18;SUI19;SUI20
BRASIL;BRA1;BRA2;BRA3;BRA4;BRA5;BRA6;BRA7;BRA8;BRA9;BRA10;BRA11;BRA12;BRA13;BRA14;BRA15;BRA16;BRA17;BRA18;BRA19;BRA20
MARROCOS;MAR1;MAR2;MAR3;MAR4;MAR5;MAR6;MAR7;MAR8;MAR9;MAR10;MAR11;MAR12;MAR13;MAR14;MAR15;MAR16;MAR17;MAR18;MAR19;MAR20
HAITI;HAI1;HAI2;HAI3;HAI4;HAI5;HAI6;HAI7;HAI8;HAI9;HAI10;HAI11;HAI12;HAI13;HAI14;HAI15;HAI16;HAI17;HAI18;HAI19;HAI20
ESCÓCIA;SC01;SC02;SC03;SC04;SC05;SC06;SC07;SC08;SC09;SC10;SC11;SC12;SC13;SC14;SC15;SC16;SC17;SC18;SC19;SC20
ESTADOS UNIDOS;USA1;USA2;USA3;USA4;USA5;USA6;USA7;USA8;USA9;USA10;USA11;USA12;USA13;USA14;USA15;USA16;USA17;USA18;USA19;USA20
PARAGUAI;PAR1;PAR2;PAR3;PAR4;PAR5;PAR6;PAR7;PAR8;PAR9;PAR10;PAR11;PAR12;PAR13;PAR14;PAR15;PAR16;PAR17;PAR18;PAR19;PAR20
AUSTRÁLIA;AUS1;AUS2;AUS3;AUS4;AUS5;AUS6;AUS7;AUS8;AUS9;AUS10;AUS11;AUS12;AUS13;AUS14;AUS15;AUS16;AUS17;AUS18;AUS19;AUS20
TURQUIA;TUR1;TUR2;TUR3;TUR4;TUR5;TUR6;TUR7;TUR8;TUR9;TUR10;TUR11;TUR12;TUR13;TUR14;TUR15;TUR16;TUR17;TUR18;TUR19;TUR20
ALEMANHA;GER1;GER2;GER3;GER4;GER5;GER6;GER7;GER8;GER9;GER10;GER11;GER12;GER13;GER14;GER15;GER16;GER17;GER18;GER19;GER20
CURAÇAO;CUW1;CUW2;CUW3;CUW4;CUW5;CUW6;CUW7;CUW8;CUW9;CUW10;CUW11;CUW12;CUW13;CUW14;CUW15;CUW16;CUW17;CUW18;CUW19;CUW20
